formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring10.cnf,15.660923480987549,False,Fri Jun  5 08:44:57 2020,1099,72,3632,274408144896,3,42,10,10,303.20,15.6301,15.3709,0.259202
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring7.cnf,30.852655172348022,False,Fri Jun  5 08:45:28 2020,1628,72,5837,274408144896,3,35,10,10,347.20,30.823,29.9088,0.914185
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_3_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case1_b14_even3.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case204.cnf,0.09762454032897949,False,Fri Jun  5 08:51:29 2020,214,49,580,70368744177664,3,14,10,8,93.50,0.06288,0.028283,0.034597
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b14_1.cnf,0.4916706085205078,False,Fri Jun  5 08:51:29 2020,238,45,680,4398046511104,2,26,10,10,95.90,0.471804,0.32463,0.147174
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_ptb_2.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case207.cnf,0.7676515579223633,False,Fri Jun  5 08:54:30 2020,824,165,2128,5846006549323611672814739330865132078623730171904,2,71,10,10,613.00,0.73652,0.116153,0.620367
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf,55.839346170425415,False,Fri Jun  5 08:55:26 2020,340,48,1023,274877906944,5,39,10,10,154.80,55.7894,55.7554,0.034032
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case117.cnf,0.09399914741516113,False,Fri Jun  5 08:55:26 2020,309,18,1366,32768,3,20,10,10,38.90,0.071172,0.039359,0.031813
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case128.cnf,0.051656484603881836,False,Fri Jun  5 08:58:27 2020,36,9,104,64,0,8,10,4,12.50,0.018468,0.013879,0.004589
